StoreKey,Order Date,Delivery Date,Delivery Time(Days)
0,42497,14-05-2016,7
0,42370,13-01-2016,12
0,42370,13-01-2016,12
0,42370,12-01-2016,11
0,42370,12-01-2016,11
0,42370,12-01-2016,11
0,42488,01-05-2016,3
0,42425,01-03-2016,5
0,42433,17-03-2016,13
0,42375,14-01-2016,8
0,42430,10-03-2016,9
0,42385,26-01-2016,10
0,42441,21-03-2016,9
0,42525,09-06-2016,5
0,42525,10-06-2016,6
0,42427,01-03-2016,3
0,42522,09-06-2016,8
0,42424,03-03-2016,8
0,42502,18-05-2016,6
0,42370,08-01-2016,7
0,42392,31-01-2016,8
0,42390,28-01-2016,7
0,42391,26-01-2016,4
0,42524,11-06-2016,8
0,42502,18-05-2016,6
0,42420,28-02-2016,8
0,42522,08-06-2016,7
0,42425,01-03-2016,5
0,42510,29-05-2016,9
0,42425,03-03-2016,7
0,42422,26-02-2016,4
0,42497,14-05-2016,7
0,42501,19-05-2016,8
0,42427,15-03-2016,17
0,42495,15-05-2016,10
0,42379,18-01-2016,8
0,42383,24-01-2016,10
0,42424,03-03-2016,8
0,42401,09-02-2016,8
0,42370,06-01-2016,5
0,42401,10-02-2016,9
0,42410,15-02-2016,5
0,42423,26-02-2016,3
0,42511,01-06-2016,11
0,42525,16-06-2016,12
0,42390,28-01-2016,7
0,42377,14-01-2016,6
0,42434,11-03-2016,6
0,42370,06-01-2016,5
0,42515,05-06-2016,11
0,42383,24-01-2016,10
0,42516,01-06-2016,6
0,42398,09-02-2016,11
0,42441,21-03-2016,9
0,42488,01-05-2016,3
0,42518,02-06-2016,5
0,42371,07-01-2016,5
0,42417,26-02-2016,9
0,42419,27-02-2016,8
0,42502,19-05-2016,7
0,42501,20-05-2016,9
0,42376,15-01-2016,8
0,42427,15-03-2016,17
0,42371,07-01-2016,5
0,42371,10-01-2016,8
0,42495,15-05-2016,10
0,42371,10-01-2016,8
0,42371,10-01-2016,8
0,42490,08-05-2016,8
0,42430,07-03-2016,6
0,42371,10-01-2016,8
0,42420,29-02-2016,9
0,42376,22-01-2016,15
0,42438,18-03-2016,9
0,42371,10-01-2016,8
0,42371,10-01-2016,8
0,42523,07-06-2016,5
0,42396,04-02-2016,8
0,42504,23-05-2016,9
0,42413,17-02-2016,4
0,42371,10-01-2016,8
0,42389,25-01-2016,5
0,42381,20-01-2016,8
0,42504,28-05-2016,14
0,42502,18-05-2016,6
0,42420,01-03-2016,10
0,42488,08-05-2016,10
0,42429,10-03-2016,10
0,42513,01-06-2016,9
0,42416,21-02-2016,5
0,42439,17-03-2016,7
0,42390,02-02-2016,12
0,42495,15-05-2016,10
0,42515,05-06-2016,11
0,42420,27-02-2016,7
0,42420,29-02-2016,9
0,42507,29-05-2016,12
0,42429,15-03-2016,15
0,42525,16-06-2016,12
0,42381,20-01-2016,8
0,42383,27-01-2016,13
0,42504,16-05-2016,2
0,42438,11-03-2016,2
0,42502,18-05-2016,6
0,42409,15-02-2016,6
0,42401,10-02-2016,9
0,42371,07-01-2016,5
0,42383,24-01-2016,10
0,42510,27-05-2016,7
0,42371,11-01-2016,9
0,42371,11-01-2016,9
0,42397,09-02-2016,12
0,42420,29-02-2016,9
0,42401,09-02-2016,8
0,42495,15-05-2016,10
0,42525,16-06-2016,12
0,42420,01-03-2016,10
0,42422,03-03-2016,10
0,42424,03-03-2016,8
0,42420,29-02-2016,9
0,42437,20-03-2016,12
0,42419,27-02-2016,8
0,42423,26-02-2016,3
0,42410,15-02-2016,5
0,42428,05-03-2016,6
0,42522,09-06-2016,8
0,42420,26-02-2016,6
0,42446,22-03-2016,5
0,42430,10-03-2016,9
0,42371,07-01-2016,5
0,42501,20-05-2016,9
0,42410,15-02-2016,5
0,42501,20-05-2016,9
0,42410,15-02-2016,5
0,42515,05-06-2016,11
0,42518,04-06-2016,7
0,42375,14-01-2016,8
0,42394,06-02-2016,12
0,42422,01-03-2016,8
0,42390,28-01-2016,7
0,42413,17-02-2016,4
0,42501,19-05-2016,8
0,42408,16-02-2016,8
0,42524,10-06-2016,7
0,42373,13-01-2016,9
0,42518,07-06-2016,10
0,42419,27-02-2016,8
0,42441,21-03-2016,9
0,42394,06-02-2016,12
0,42424,03-03-2016,8
0,42388,28-01-2016,9
0,42501,20-05-2016,9
0,42373,09-01-2016,5
0,42373,13-01-2016,9
0,42373,13-01-2016,9
0,42522,08-06-2016,7
0,42373,13-01-2016,9
0,42385,21-01-2016,5
0,42429,15-03-2016,15
0,42518,02-06-2016,5
0,42420,02-03-2016,11
0,42401,10-02-2016,9
0,42434,13-03-2016,8
0,42524,10-06-2016,7
0,42494,09-05-2016,5
0,42391,26-01-2016,4
0,42504,23-05-2016,9
0,42525,10-06-2016,6
0,42394,06-02-2016,12
0,42377,14-01-2016,6
0,42419,27-02-2016,8
0,42416,21-02-2016,5
0,42375,14-01-2016,8
0,42375,15-01-2016,9
0,42375,18-01-2016,12
0,42375,14-01-2016,8
0,42528,15-06-2016,8
0,42413,22-02-2016,9
0,42439,18-03-2016,8
0,42376,22-01-2016,15
0,42375,14-01-2016,8
0,42375,14-01-2016,8
0,42375,14-01-2016,8
0,42375,14-01-2016,8
0,42518,04-06-2016,7
0,42515,05-06-2016,11
0,42525,16-06-2016,12
0,42376,22-01-2016,15
0,42522,08-06-2016,7
0,42502,18-05-2016,6
0,42441,21-03-2016,9
0,42523,07-06-2016,5
0,42420,27-02-2016,7
0,42404,10-02-2016,6
0,42490,08-05-2016,8
0,42377,14-01-2016,6
0,42406,13-02-2016,7
0,42398,09-02-2016,11
0,42377,14-01-2016,6
0,42377,14-01-2016,6
0,42502,18-05-2016,6
0,42524,11-06-2016,8
0,42439,18-03-2016,8
0,42381,20-01-2016,8
0,42377,19-01-2016,11
0,42515,05-06-2016,11
0,42403,11-02-2016,8
0,42392,31-01-2016,8
0,42422,28-02-2016,6
0,42504,16-05-2016,2
0,42378,20-01-2016,11
0,42378,20-01-2016,11
0,42490,08-05-2016,8
0,42378,20-01-2016,11
0,42378,20-01-2016,11
0,42424,03-03-2016,8
0,42390,30-01-2016,9
0,42522,08-06-2016,7
0,42427,15-03-2016,17
0,42427,15-03-2016,17
0,42411,16-02-2016,5
0,42416,21-02-2016,5
0,42379,18-01-2016,8
0,42394,06-02-2016,12
0,42417,26-02-2016,9
0,42379,18-01-2016,8
0,42427,10-03-2016,12
0,42422,26-02-2016,4
0,42425,03-03-2016,7
0,42428,05-03-2016,6
0,42441,21-03-2016,9
0,42524,11-06-2016,8
0,42388,28-01-2016,9
0,42427,03-03-2016,5
0,42422,29-02-2016,7
0,42381,20-01-2016,8
0,42411,14-02-2016,3
0,42438,18-03-2016,9
0,42490,08-05-2016,8
0,42381,20-01-2016,8
0,42424,03-03-2016,8
0,42381,20-01-2016,8
0,42495,15-05-2016,10
0,42501,19-05-2016,8
0,42501,19-05-2016,8
0,42511,01-06-2016,11
0,42416,21-02-2016,5
0,42419,01-03-2016,11
0,42385,26-01-2016,10
0,42404,10-02-2016,6
0,42425,01-03-2016,5
0,42413,17-02-2016,4
0,42429,15-03-2016,15
0,42528,15-06-2016,8
0,42385,26-01-2016,10
0,42490,08-05-2016,8
0,42522,08-06-2016,7
0,42385,23-01-2016,7
0,42385,23-01-2016,7
0,42410,15-02-2016,5
0,42385,21-01-2016,5
0,42495,15-05-2016,10
0,42501,20-05-2016,9
0,42522,08-06-2016,7
0,42495,15-05-2016,10
0,42389,25-01-2016,5
0,42504,23-05-2016,9
0,42427,04-03-2016,6
0,42389,25-01-2016,5
0,42417,26-02-2016,9
0,42523,07-06-2016,5
0,42396,01-02-2016,5
0,42396,01-02-2016,5
0,42429,15-03-2016,15
0,42408,16-02-2016,8
0,42522,08-06-2016,7
0,42527,16-06-2016,10
0,42397,06-02-2016,9
0,42525,10-06-2016,6
0,42510,27-05-2016,7
0,42390,30-01-2016,9
0,42410,15-02-2016,5
0,42390,02-02-2016,12
0,42494,09-05-2016,5
0,42423,26-02-2016,3
0,42391,26-01-2016,4
0,42391,26-01-2016,4
0,42510,25-05-2016,5
0,42511,01-06-2016,11
0,42418,28-02-2016,10
0,42392,27-01-2016,4
0,42397,06-02-2016,9
0,42415,25-02-2016,10
0,42410,20-02-2016,10
0,42392,30-01-2016,7
0,42516,01-06-2016,6
0,42501,20-05-2016,9
0,42437,20-03-2016,12
0,42397,09-02-2016,12
0,42394,06-02-2016,12
0,42419,01-03-2016,11
0,42395,02-02-2016,7
0,42522,08-06-2016,7
0,42423,02-03-2016,8
0,42436,14-03-2016,7
0,42518,02-06-2016,5
0,42396,01-02-2016,5
0,42404,10-02-2016,6
0,42396,01-02-2016,5
